tid,"ll_img","tag"
23453,"LMSMPS505850049","apprentice"
23457,"LMSMPS505850053","apprentice"
23605,"LMSMPS505950062","apprentice"
23606,"LMSMPS505950066","apprentice"
23621,"LMSMPS505950073","apprentice"
23647,"LMSMPS505960024","apprentice"
23650,"LMSMPS505990002","apprentice"
23693,"LMSMPS506010017","apprentice"
23697,"LMSMPS506010020","apprentice"
23698,"LMSMPS506010021","apprentice"
23713,"LMSMPS506020022","apprentice"
23760,"LMSMPS506040082","apprentice"
23762,"LMSMPS506040083","apprentice"
23784,"LMSMPS506050031","apprentice"
23786,"LMSMPS506050033","apprentice"
23788,"LMSMPS506050034","apprentice"
23910,"LMSMPS506100069","apprentice"
23922,"LMSMPS506130125","apprentice"
23927,"LMSMPS506130128","apprentice"
23932,"LMSMPS506130129","apprentice"
23940,"LMSMPS506160035","apprentice"
23944,"LMSMPS506210067","apprentice"
23949,"LMSMPS506210071","apprentice"
23952,"LMSMPS506240134","apprentice"
23954,"LMSMPS506240136","apprentice"
23966,"LMSMPS506260053","apprentice"
23972,"LMSMPS506260055","apprentice"
24016,"LMSMPS506330066","apprentice"
24020,"LMSMPS506340186","apprentice"
24045,"LMSMPS506340197","apprentice"
24058,"LMSMPS506340206","apprentice"
24226,"LMSMPS506390110","apprentice"
24325,"LMSMPS506420129","apprentice"
24329,"LMSMPS506420130","apprentice"
24421,"LMSMPS506450145","apprentice"
24463,"LMSMPS506470088","apprentice"
24465,"LMSMPS506470089","apprentice"
24517,"LMSMPS506480021","apprentice"
24521,"LMSMPS506480023","apprentice"
24591,"LMSMPS506520058","apprentice"
24657,"LMSMPS506600006","apprentice"
24811,"LMSMPS506780027","apprentice"
24813,"LMSMPS506780028","apprentice"
25014,"LMSMPS506880030","apprentice"
25038,"LMSMPS506880045","apprentice"
25071,"LMSMPS506890008","apprentice"
25074,"LMSMPS506890010","apprentice"
25076,"LMSMPS506890011","apprentice"
25131,"LMSMPS506900006","apprentice"
25133,"LMSMPS506900008","apprentice"
25134,"LMSMPS506900009","apprentice"
25138,"LMSMPS506900011","apprentice"
25141,"LMSMPS506900012","apprentice"
25154,"LMSMPS506900024","apprentice"
25157,"LMSMPS506900026","apprentice"
25175,"LMSMPS506900039","apprentice"
25206,"LMSMPS506910012","apprentice"
25212,"LMSMPS506910016","apprentice"
25230,"LMSMPS506920006","apprentice"
25252,"LMSMPS506940018","apprentice"
25255,"LMSMPS506940020","apprentice"
25257,"LMSMPS506940022","apprentice"
25271,"LMSMPS506940034","apprentice"
25274,"LMSMPS506940036","apprentice"
25277,"LMSMPS506940038","apprentice"
25282,"LMSMPS506940041","apprentice"
25321,"LMSMPS506950008","apprentice"
25324,"LMSMPS506950010","apprentice"
25360,"LMSMPS506960017","apprentice"
25363,"LMSMPS506960019","apprentice"
25367,"LMSMPS506960022","apprentice"
25369,"LMSMPS506960026","apprentice"
25370,"LMSMPS506960028","apprentice"
25371,"LMSMPS506960030","apprentice"
25372,"LMSMPS506960032","apprentice"
25375,"LMSMPS506960034","apprentice"
25380,"LMSMPS506960035","apprentice"
25427,"LMSMPS506960057","apprentice"
25468,"LMSMPS506970005","apprentice"
25503,"LMSMPS506980025","apprentice"
25563,"LMSMPS506990019","apprentice"
25619,"LMSMPS506990056","apprentice"
25641,"LMSMPS507000015","apprentice"
25642,"LMSMPS507000018","apprentice"
25645,"LMSMPS507000020","apprentice"
25663,"LMSMPS507010019","apprentice"
25666,"LMSMPS507010022","apprentice"
25679,"LMSMPS507010031","apprentice"
25681,"LMSMPS507010033","apprentice"
25684,"LMSMPS507010036","apprentice"
25730,"LMSMPS507020007","apprentice"
25737,"LMSMPS507020011","apprentice"
25741,"LMSMPS507020013","apprentice"
25765,"LMSMPS507030097","apprentice"
25806,"LMSMPS507040069","apprentice"
25868,"LMSMPS507080011","apprentice"
25926,"LMSMPS507110100","apprentice"
